Symptom	CUI	LexicalExpression
﻿Anxiety, stress & general mental health symptoms	C1832070	Anxiety
Anxiety, stress & general mental health symptoms	C1832070	worry
Anxiety, stress & general mental health symptoms	C1832070	stressed
Anxiety, stress & general mental health symptoms	C1832070	anxious
Anxiety, stress & general mental health symptoms	C1832070	panic attacks
Anxiety, stress & general mental health symptoms	C1832070	panic attack
Anxiety, stress & general mental health symptoms	C1832070	panic
Anxiety, stress & general mental health symptoms	C1832070	anxiety attacks
Anxiety, stress & general mental health symptoms	C1832070	crying fits
Anxiety, stress & general mental health symptoms	C1832070	anxiousness
Anxiety, stress & general mental health symptoms	C1832070	depression
Anxiety, stress & general mental health symptoms	C1832070	stressed out
Chest pain	C0008031	pain with my lungs
Chest pain	C0008031	left lung is in pain
Chest pain	C0008031	squeezing my lung and it feels like burning
Chest pain	C0008031	chest pains
Chest pain	C0008031	chest pain
Chest pain	C0008031	pain in my lungs
Chest pain	C0008031	chest is on fire
Chest pain	C0008031	congested
Chest pain	C0008031	congestion
Chest pain	C0008031	burning after coughing
Chest pain	C0008031	lung pain
Chest pain	C0008031	burning sensation in the centre of my chest
Chest pain	C0008031	chest hurts
Chest pain	C0008031	burn in my chest
Chest pain	C0008031	pains in my chest
Chest pain	C0008031	lungs burning
Chest pain	C0008031	lungs burning
Chest pain	C0008031	painful feeling in my chest
Chest pain	C0008031	burning in my chest
Chest pain	C0008031	burning sensation in my back
Chest pain	C0008031	heartburn
Chest pain	C0008031	lungs feel like they are burning
Chest pain	C0008031	rattle in chest
Chest pain	C0008031	pain in chest
Chest pain	C0008031	ribs hurt
Chest pain	C0008031	ribs pain
Chest pain	C0008031	extremely sore ribs
Chest pain	C0008031	rib cage hurt
Chest pain	C0008031	stabbing chest pains
Chest pain	C0008031	lungs ache
Chest pain	C0008031	stabbing pain on my chest
Chest pain	C0008031	chest seems inflammed and sore
Chest pain	C0008031	lungs still ache
Chest pain	C0008031	pain when breathing
Chest pain	C0008031	lungs now burn
Chest pain	C0008031	chest hurt
Chest pain	C0008031	heavy chest pain
Cough	C0010200	coughing
Cough	C0010200	cough
Cough	C0010200	mild cough
Cough	C0010200	dry cough
Cough	C0010200	persistent cough
Cough	C0010200	coughs
Cough	C0010200	productive cough
Cough	C0010200	bad cough
Cough	C0010200	persistent coughs
Cough	C0010200	slight cough
Cough	C0010200	wet cough
Cough	C0010200	nasty cough
Cough	C0010200	cough is next level
Cough	C0010200	dry annoying cough
Cough	C0010200	bronchitis cough
Cough	C0010200	little coughing
Cough	C0010200	couging occasionally
Cough	C0010200	Coughing up phelgm
Cough	C0010200	Coughed up phelgm
Cough	C0010200	coughed more
Cough	C0010200	coughing hysterically
Cough	C0010200	couging intensified
Cough	C0010200	little cough
Cough	C0010200	lingering cough
Cough	C0010200	cough fits
Cough	C0010200	Few cough fits
Cough	C0010200	mild dry cough
Cough	C0010200	crazy cough
Cough	C0010200	very mild cough
Cough	C0010200	weak cough
Cough	C0010200	minor cough
Cough	C0010200	mild phlegm
Cough	C0010200	intermittent cough
Cough	C0010200	caughing
Cough	C0010200	coughing hard
Cough	C0010200	couging
Dyspnea	C0013404	out of breath
Dyspnea	C0013404	struggling with breathing
Dyspnea	C0013404	hard to breathe
Dyspnea	C0013404	struggling to breathe
Dyspnea	C0013404	resp problems
Dyspnea	C0013404	breathing got more difficult
Dyspnea	C0013404	shortness of breath
Dyspnea	C0013404	breathing has been difficult
Dyspnea	C0013404	difficulty of breathing
Dyspnea	C0013404	respiratory symptoms
Dyspnea	C0013404	respiratory distress
Dyspnea	C0013404	difficulty breathing
Dyspnea	C0013404	breathing was noticeably difficult
Dyspnea	C0013404	breathing was slighly uncomfortable
Dyspnea	C0013404	short of breath
